seed,run_id,interval,metric_name,value
42,1,4,compute_cost_static,0.95
42,1,4,communication_distance_proposed,474.216929
42,1,4,communication_distance_bayesian,500.070451
42,1,4,communication_distance_static,496.432632
42,1,4,routing_load_proposed,0.55
42,1,4,routing_load_bayesian,0.48
42,1,4,routing_load_static,0.55
42,1,4,routing_distance_proposed,0.0
42,1,4,routing_distance_bayesian,566.332745
42,1,4,routing_distance_static,0.0
42,1,4,routing_noise_proposed,0.0
42,1,4,routing_noise_bayesian,-0.023391
42,1,4,routing_noise_static,0.0
42,1,5,accuracy_proposed,86.0
42,1,5,accuracy_bayesian,64.0
42,1,5,accuracy_static,86.0
42,1,5,precision_proposed,0.0
42,1,5,precision_bayesian,21.05
42,1,5,precision_static,0.0
42,1,5,recall_proposed,0.0
42,1,5,recall_bayesian,57.14
42,1,5,recall_static,0.0
42,1,5,f1_proposed,0.0
42,1,5,f1_bayesian,30.77
42,1,5,f1_static,0.0
42,1,5,tp_proposed,0.0
42,1,5,tp_bayesian,4.0
42,1,5,tp_static,0.0
42,1,5,tn_proposed,43.0
42,1,5,tn_bayesian,28.0
42,1,5,tn_static,43.0
42,1,5,fp_proposed,0.0
42,1,5,fp_bayesian,15.0
42,1,5,fp_static,0.0
42,1,5,fn_proposed,7.0
42,1,5,fn_bayesian,3.0
42,1,5,fn_static,7.0
42,1,5,pdr_proposed,94.0
42,1,5,pdr_bayesian,80.0
42,1,5,pdr_static,93.88
42,1,5,energy_proposed,86.36
42,1,5,energy_bayesian,86.52
42,1,5,energy_static,87.17
42,1,5,trust_mean_proposed,0.8884
42,1,5,trust_std_proposed,0.0284
42,1,5,trust_min_proposed,0.7664
42,1,5,trust_max_proposed,0.9144
42,1,5,blockchain_commit_latency_ms,1502.4426
42,1,5,blockchain_failed_commits,0.0
42,1,5,blockchain_commit_success_rate,1.0
42,1,5,packet_count_proposed,1.279627
42,1,5,packet_count_bayesian,1.253533
42,1,5,packet_count_static,1.248093
42,1,5,compute_cost_proposed,1.12
42,1,5,compute_cost_bayesian,1.1
42,1,5,compute_cost_static,0.95
42,1,5,communication_distance_proposed,516.101373
42,1,5,communication_distance_bayesian,491.755271
42,1,5,communication_distance_static,498.698711
42,1,5,routing_load_proposed,0.55
42,1,5,routing_load_bayesian,0.455
42,1,5,routing_load_static,0.55
42,1,5,routing_distance_proposed,0.0
42,1,5,routing_distance_bayesian,416.130085
42,1,5,routing_distance_static,0.0
42,1,5,routing_noise_proposed,0.0
42,1,5,routing_noise_bayesian,0.023086
42,1,5,routing_noise_static,0.0
42,1,6,accuracy_proposed,86.0
42,1,6,accuracy_bayesian,68.0
42,1,6,accuracy_static,86.0
42,1,6,precision_proposed,0.0
42,1,6,precision_bayesian,28.57
42,1,6,precision_static,0.0
42,1,6,recall_proposed,0.0
42,1,6,recall_bayesian,85.71
42,1,6,recall_static,0.0
42,1,6,f1_proposed,0.0
42,1,6,f1_bayesian,42.86
42,1,6,f1_static,0.0
42,1,6,tp_proposed,0.0
42,1,6,tp_bayesian,6.0
42,1,6,tp_static,0.0
42,1,6,tn_proposed,43.0
42,1,6,tn_bayesian,28.0
42,1,6,tn_static,43.0
42,1,6,fp_proposed,0.0
42,1,6,fp_bayesian,15.0
42,1,6,fp_static,0.0
42,1,6,fn_proposed,7.0
42,1,6,fn_bayesian,1.0
42,1,6,fn_static,7.0
42,1,6,pdr_proposed,93.88
42,1,6,pdr_bayesian,82.0
42,1,6,pdr_static,95.83
42,1,6,energy_proposed,83.63
42,1,6,energy_bayesian,83.75
42,1,6,energy_static,84.61
42,1,6,trust_mean_proposed,0.8777
42,1,6,trust_std_proposed,0.0326
42,1,6,trust_min_proposed,0.7264
42,1,6,trust_max_proposed,0.9051
42,1,6,blockchain_commit_latency_ms,1499.7679
42,1,6,blockchain_failed_commits,0.0
42,1,6,blockchain_commit_success_rate,1.0
42,1,6,packet_count_proposed,1.268209
42,1,6,packet_count_bayesian,1.270634
42,1,6,packet_count_static,1.24092
42,1,6,compute_cost_proposed,1.12
42,1,6,compute_cost_bayesian,1.1
42,1,6,compute_cost_static,0.95
42,1,6,communication_distance_proposed,509.357016
42,1,6,communication_distance_bayesian,539.606616
42,1,6,communication_distance_static,492.621109
42,1,6,routing_load_proposed,0.55
42,1,6,routing_load_bayesian,0.445
42,1,6,routing_load_static,0.55
42,1,6,routing_distance_proposed,0.0
42,1,6,routing_distance_bayesian,495.926971
42,1,6,routing_distance_static,0.0
42,1,6,routing_noise_proposed,0.0
42,1,6,routing_noise_bayesian,-0.022964
42,1,6,routing_noise_static,0.0
42,1,7,accuracy_proposed,86.0
42,1,7,accuracy_bayesian,72.0
42,1,7,accuracy_static,86.0
42,1,7,precision_proposed,0.0
42,1,7,precision_bayesian,18.18
42,1,7,precision_static,0.0
42,1,7,recall_proposed,0.0
42,1,7,recall_bayesian,28.57
42,1,7,recall_static,0.0
42,1,7,f1_proposed,0.0
42,1,7,f1_bayesian,22.22
42,1,7,f1_static,0.0
42,1,7,tp_proposed,0.0
42,1,7,tp_bayesian,2.0
42,1,7,tp_static,0.0
42,1,7,tn_proposed,43.0
42,1,7,tn_bayesian,34.0
42,1,7,tn_static,43.0
42,1,7,fp_proposed,0.0
42,1,7,fp_bayesian,9.0
42,1,7,fp_static,0.0
42,1,7,fn_proposed,7.0
42,1,7,fn_bayesian,5.0
42,1,7,fn_static,7.0
42,1,7,pdr_proposed,89.8
42,1,7,pdr_bayesian,85.11
42,1,7,pdr_static,92.0
42,1,7,energy_proposed,80.93
42,1,7,energy_bayesian,81.07
42,1,7,energy_static,81.99
42,1,7,trust_mean_proposed,0.8685
42,1,7,trust_std_proposed,0.0363
42,1,7,trust_min_proposed,0.7141
42,1,7,trust_max_proposed,0.8964
42,1,7,blockchain_commit_latency_ms,1507.3895
42,1,7,blockchain_failed_commits,0.0
42,1,7,blockchain_commit_success_rate,1.0
42,1,7,packet_count_proposed,1.255042
42,1,7,packet_count_bayesian,1.245423
42,1,7,packet_count_static,1.275512
42,1,7,compute_cost_proposed,1.12
42,1,7,compute_cost_bayesian,1.1
42,1,7,compute_cost_static,0.95
42,1,7,communication_distance_proposed,510.974599
42,1,7,communication_distance_bayesian,492.563547
42,1,7,communication_distance_static,511.255429
42,1,7,routing_load_proposed,0.55
42,1,7,routing_load_bayesian,0.495
42,1,7,routing_load_static,0.55
42,1,7,routing_distance_proposed,0.0
42,1,7,routing_distance_bayesian,602.002022
42,1,7,routing_distance_static,0.0
42,1,7,routing_noise_proposed,0.0
42,1,7,routing_noise_bayesian,0.050233
42,1,7,routing_noise_static,0.0
42,1,8,accuracy_proposed,88.0
42,1,8,accuracy_bayesian,70.0
42,1,8,accuracy_static,86.0
42,1,8,precision_proposed,100.0
42,1,8,precision_bayesian,25.0
42,1,8,precision_static,0.0
42,1,8,recall_proposed,14.29
42,1,8,recall_bayesian,57.14
42,1,8,recall_static,0.0
42,1,8,f1_proposed,25.0
42,1,8,f1_bayesian,34.78
42,1,8,f1_static,0.0
42,1,8,tp_proposed,1.0
42,1,8,tp_bayesian,4.0
42,1,8,tp_static,0.0
42,1,8,tn_proposed,43.0
42,1,8,tn_bayesian,31.0
42,1,8,tn_static,43.0
42,1,8,fp_proposed,0.0
